header,label,dataset_fold_1,dataset_fold_2,dataset_fold_3,dataset_fold_4,dataset_fold_5
WP_131588782.1,1,val,train,train,train,train
WP_021966324.1,1,val,train,train,train,train
WP_039960064.1,1,val,train,train,train,train
EEG88502.1,1,val,train,train,train,train
WP_015545207.1,1,val,train,train,train,train
CBK65571.1,1,val,train,train,train,train
WP_008395144.1,1,val,train,train,train,train
EEF65598.1,1,val,train,train,train,train
EDT47402.1,1,val,train,train,train,train
WP_008398113.1,1,val,train,train,train,train
EDT48225.1,1,val,train,train,train,train
EDT47111.1,1,val,train,train,train,train
CBK67555.1,1,val,train,train,train,train
EEG91624.1,1,val,train,train,train,train
EEG89521.1,1,val,train,train,train,train
WP_004841759.1,1,val,train,train,train,train
EEG90142.1,1,val,train,train,train,train
WP_008397043.1,1,val,train,train,train,train
WP_008399149.1,1,val,train,train,train,train
WP_004842896.1,1,val,train,train,train,train
WP_015543995.1,1,train,val,train,train,train
EDT47181.1,1,train,val,train,train,train
EEF68020.1,1,train,val,train,train,train
CBK67620.1,1,train,val,train,train,train
EEG91604.1,1,train,val,train,train,train
WP_008397992.1,1,train,val,train,train,train
WP_004842010.1,1,train,val,train,train,train
EEF66282.1,1,train,val,train,train,train
EEG89754.1,1,train,val,train,train,train
WP_004842913.1,1,train,val,train,train,train
WP_004844779.1,1,train,val,train,train,train
CBK67702.1,1,train,val,train,train,train
EEF65659.1,1,train,val,train,train,train
WP_004842859.1,1,train,val,train,train,train
EEF67832.1,1,train,val,train,train,train
WP_044931736.1,1,train,val,train,train,train
EEF65898.1,1,train,val,train,train,train
P19412|P19412,1,train,val,train,train,train
EEF68255.1,1,train,val,train,train,train
EEG91531.1,1,train,val,train,train,train
WP_004840155.1,1,train,train,val,train,train
WP_008398026.1,1,train,train,val,train,train
CBK68513.1,1,train,train,val,train,train
CBK67420.1,1,train,train,val,train,train
EEF69773.1,1,train,train,val,train,train
WP_004842845.1,1,train,train,val,train,train
WP_044930911.1,1,train,train,val,train,train
CBK68739.1,1,train,train,val,train,train
WP_008395675.1,1,train,train,val,train,train
CBK68366.1,1,train,train,val,train,train
WP_004844619.1,1,train,train,val,train,train
WP_009244597.1,1,train,train,val,train,train
EDT48658.1,1,train,train,val,train,train
WP_004841023.1,1,train,train,val,train,train
WP_004840663.1,1,train,train,val,train,train
WP_004842978.1,1,train,train,val,train,train
EDT48153.1,1,train,train,val,train,train
CBK66079.1,1,train,train,val,train,train
WP_008395186.1,1,train,train,val,train,train
EEF69288.1,1,train,train,train,val,train
CBK69537.1,1,train,train,train,val,train
EEG89682.1,1,train,train,train,val,train
CBK66759.1,1,train,train,train,val,train
EEG91028.1,1,train,train,train,val,train
EDT47775.1,1,train,train,train,val,train
CBK69535.1,1,train,train,train,val,train
WP_004840500.1,1,train,train,train,val,train
EEF66133.1,1,train,train,train,val,train
EEG90702.1,1,train,train,train,val,train
WP_011742997.1,1,train,train,train,val,train
EEG91636.1,1,train,train,train,val,train
EEG91530.1,1,train,train,train,val,train
CBK67973.1,1,train,train,train,val,train
EDT47718.1,1,train,train,train,val,train
EEF66631.1,1,train,train,train,val,train
EEG89422.1,1,train,train,train,val,train
CBK68715.1,1,train,train,train,val,train
WP_008398872.1,1,train,train,train,val,train
EDT48359.1,1,train,train,train,train,val
EEF67152.1,1,train,train,train,train,val
EEG89430.1,1,train,train,train,train,val
K7F6X0,1,train,train,train,train,val
EDT48235.1,1,train,train,train,train,val
EEF69168.1,1,train,train,train,train,val
WP_008399563.1,1,train,train,train,train,val
WP_011743363.1,1,train,train,train,train,val
WP_008397001.1,1,train,train,train,train,val
EEG89807.1,1,train,train,train,train,val
EEF67533.1,1,train,train,train,train,val
EEG91206.1,1,train,train,train,train,val
EEF68774.1,1,train,train,train,train,val
WP_022038089.1,1,train,train,train,train,val
WP_021965780.1,1,train,train,train,train,val
CBK69153.1,1,train,train,train,train,val
EEG91560.1,1,train,train,train,train,val
EEG90928.1,1,train,train,train,train,val
WP_011743581.1,1,train,train,train,train,val
EEF67300.1,1,val,train,train,train,train
EDT48460.1,1,val,train,train,train,train
WP_004843846.1,1,val,train,train,train,train
EDT47088.1,1,val,train,train,train,train
EEG87897.1,1,val,train,train,train,train
CBK69146.1,1,val,train,train,train,train
CBK69093.1,1,val,train,train,train,train
CBK67210.1,1,val,train,train,train,train
EDT47519.1,1,val,train,train,train,train
EEF65830.1,1,val,train,train,train,train
WP_044930391.1,1,val,train,train,train,train
EEG90736.1,1,val,train,train,train,train
WP_004842068.1,1,val,train,train,train,train
WP_039959193.1,1,val,train,train,train,train
EEG90988.1,1,val,train,train,train,train
A0A8C4K3E3,1,val,train,train,train,train
CBK69298.1,1,val,train,train,train,train
WP_011742985.1,1,val,train,train,train,train
WP_008398499.1,1,val,train,train,train,train
EEG90589.1,1,val,train,train,train,train
EEG90271.1,1,val,train,train,train,train
CBK69471.1,1,val,train,train,train,train
EEF69177.1,1,val,train,train,train,train
WP_004841255.1,1,val,train,train,train,train
WP_008395849.1,1,val,train,train,train,train
EEG90456.1,1,val,train,train,train,train
EEF65678.1,1,val,train,train,train,train
CBK68343.1,1,val,train,train,train,train
EEG90687.1,1,val,train,train,train,train
CBK67104.1,1,val,train,train,train,train
EEF65928.1,1,val,train,train,train,train
WP_004841284.1,1,val,train,train,train,train
EEG89237.1,1,val,train,train,train,train
EEG88193.1,1,val,train,train,train,train
EDT48493.1,1,val,train,train,train,train
EEG91536.1,1,val,train,train,train,train
EEG91427.1,1,val,train,train,train,train
EEG88557.1,1,val,train,train,train,train
WP_004844835.1,1,val,train,train,train,train
WP_008399473.1,1,val,train,train,train,train
WP_009245014.1,1,val,train,train,train,train
EEF66428.1,1,train,val,train,train,train
WP_008398504.1,1,train,val,train,train,train
WP_044931846.1,1,train,val,train,train,train
WP_004842930.1,1,train,val,train,train,train
EEF66164.1,1,train,val,train,train,train
EEF66891.1,1,train,val,train,train,train
WP_004842087.1,1,train,val,train,train,train
WP_231836951.1,1,train,val,train,train,train
EEG87908.1,1,train,val,train,train,train
WP_008395045.1,1,train,val,train,train,train
EEF66912.1,1,train,val,train,train,train
CBK65590.1,1,train,val,train,train,train
EEG88601.1,1,train,val,train,train,train
WP_004844312.1,1,train,val,train,train,train
EEG91130.1,1,train,val,train,train,train
EEF68593.1,1,train,val,train,train,train
CBK66033.1,1,train,val,train,train,train
EDT47986.1,1,train,val,train,train,train
EDT48137.1,1,train,val,train,train,train
WP_008395071.1,1,train,val,train,train,train
EDT46773.1,1,train,val,train,train,train
EDT47128.1,1,train,val,train,train,train
EEG89585.1,1,train,val,train,train,train
CBK68587.1,1,train,val,train,train,train
WP_004842966.1,1,train,val,train,train,train
WP_009245265.1,1,train,val,train,train,train
WP_011743374.1,1,train,val,train,train,train
WP_009245909.1,1,train,val,train,train,train
EEG90137.1,1,train,val,train,train,train
